TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000101,24.663,0.0,503.431,192.011,0.0,428.195,0.0,5.814,0.0,96.683,0.0,7.861,0.0,1.571,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,60.52,-9999,-9999,-9999,-9999,-9999,29.8761,-9999,-9999,-9999,-9999,-9999,-1.2718,0.0,-9999,-1.2718,-0.955338,-0.457121,0.0,0.0,0.0,4.97408,3.84334,4.48051,4.95543,5.85345,4.96715,5.4666,5.74141,2.80967,2.81299,3.32553,3.38049,4.26171,4.27664,4.3025,4.33131,-9999,-9999
20000102,24.839,0.0,503.226,220.494,0.0,425.51,0.0,4.749,0.0,96.766,0.0,13.242,0.0,2.675,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.444,-9999,-9999,-9999,-9999,-9999,46.4993,-9999,-9999,-9999,-9999,-9999,-1.29056,0.0,-9999,-1.48189,-1.27059,-0.735445,0.0,0.0,0.0,5.00453,3.8704,4.50291,4.98518,5.90067,5.19262,5.69318,5.90155,2.81471,2.81804,3.3315,3.38655,4.81759,4.81759,4.84131,4.8649,-9999,-9999
20000103,22.631,0.0,502.994,195.338,0.0,415.09,0.0,7.377,0.0,97.248,0.0,5.941,0.0,6.591,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.3608,-9999,-9999,-9999,-9999,-9999,41.4574,-9999,-9999,-9999,-9999,-9999,-1.80328,0.0,-9999,-1.81953,-1.11576,-0.517811,0.0,0.0,0.0,4.62395,3.53679,4.22166,4.61325,6.05771,4.73992,5.37193,5.5361,2.75114,2.75439,3.25626,3.31006,4.24394,4.26501,4.28991,4.31672,-9999,-9999
20000104,21.851,0.0,502.735,91.748,0.0,420.479,0.0,3.812,0.0,97.247,0.0,5.41,0.0,5.701,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,60.52,-9999,-9999,-9999,-9999,-9999,29.8761,-9999,-9999,-9999,-9999,-9999,-1.2718,0.0,-9999,-1.2718,-0.955338,-0.457121,0.0,0.0,0.0,4.48839,3.43192,4.12203,4.48086,5.39946,4.59345,5.12375,5.35973,2.72916,2.73239,3.23024,3.28362,2.26356,2.27616,2.40697,2.42795,-9999,-9999
20000105,24.093,0.0,502.448,213.235,0.0,421.954,0.0,6.835,0.0,97.051,0.0,2.6,0.0,2.449,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.444,-9999,-9999,-9999,-9999,-9999,46.4993,-9999,-9999,-9999,-9999,-9999,-1.29056,0.0,-9999,-1.48189,-1.27059,-0.735445,0.0,0.0,0.0,4.87616,3.75669,4.40813,4.8597,5.78072,5.09784,5.57776,5.78378,2.79312,2.79642,3.30594,3.36057,4.65248,4.68053,4.70794,4.73633,-9999,-9999
20000106,24.068,0.0,502.136,207.005,0.0,420.396,0.0,3.987,0.0,96.85,0.0,7.108,0.0,1.426,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.3608,-9999,-9999,-9999,-9999,-9999,41.4574,-9999,-9999,-9999,-9999,-9999,-1.80328,0.0,-9999,-1.81953,-1.11576,-0.517811,0.0,0.0,0.0,4.87013,3.75016,4.40459,4.85397,6.28769,4.92265,5.59328,5.77622,2.79309,2.79639,3.3059,3.36053,4.59234,4.60329,4.63386,4.66373,-9999,-9999
20000107,24.433,0.0,501.795,147.671,0.0,427.537,0.0,4.71,0.0,96.555,0.0,7.701,0.0,1.847,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,60.52,-9999,-9999,-9999,-9999,-9999,29.8761,-9999,-9999,-9999,-9999,-9999,-1.2718,0.0,-9999,-1.2718,-0.955338,-0.457121,0.0,0.0,0.0,4.9334,3.80647,4.45131,4.91578,5.81536,4.9387,5.4304,5.70459,2.80353,2.80684,3.31826,3.37309,3.45873,3.48402,3.58374,3.61449,-9999,-9999
20000108,21.885,0.0,501.427,49.787,0.0,418.594,0.0,2.848,0.0,96.584,0.0,22.907,0.0,4.122,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.444,-9999,-9999,-9999,-9999,-9999,46.4993,-9999,-9999,-9999,-9999,-9999,-1.29056,0.0,-9999,-1.48189,-1.27059,-0.735445,0.0,0.0,0.0,4.49717,3.43881,4.12675,4.48919,5.4266,4.82671,5.23989,5.49407,2.72902,2.73224,3.23007,3.28344,1.28308,1.28826,1.4026,1.41594,-9999,-9999
20000109,21.75,0.0,501.031,200.242,0.0,402.05,0.0,7.404,0.0,96.746,0.0,0.279,0.0,4.377,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.3608,-9999,-9999,-9999,-9999,-9999,41.4574,-9999,-9999,-9999,-9999,-9999,-1.80328,0.0,-9999,-1.81953,-1.11576,-0.517811,0.0,0.0,0.0,4.47462,3.42141,4.10957,4.46709,5.91831,4.6281,5.26046,5.424,2.72482,2.72804,3.2251,3.2784,4.40845,4.43547,4.4622,4.4883,-9999,-9999
20000110,23.814,0.0,500.608,262.803,0.0,401.62,0.0,8.553,0.0,96.556,0.0,0.0,0.0,2.19,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,60.52,-9999,-9999,-9999,-9999,-9999,29.8761,-9999,-9999,-9999,-9999,-9999,-1.2718,0.0,-9999,-1.2718,-0.955338,-0.457121,0.0,0.0,0.0,4.83095,3.71851,4.37278,4.81525,5.71991,4.85724,5.34232,5.62479,2.78391,2.7872,3.29503,3.34948,5.38379,5.38335,5.41346,5.44931,-9999,-9999
